timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1741116134699,106,Signup,200,OK,Load Test 1-1,text,true,,663,246,3,3,http://localhost:6400/api/users,106,0,1
1741116134749,82,Signup,200,OK,Load Test 1-2,text,true,,663,246,3,3,http://localhost:6400/api/users,82,0,1
1741116134806,119,Login,200,OK,Load Test 1-1,text,true,,1359,245,5,5,http://localhost:6400/api/auth,118,0,0
1741116134925,0,Login-0,200,OK,Load Test 1-1,text,true,,674,0,5,5,null,0,0,0
1741116134800,136,Signup,200,OK,Load Test 1-3,text,true,,663,246,5,5,http://localhost:6400/api/users,136,0,1
1741116134926,24,Create group,200,OK,Load Test 1-1,text,true,,290,648,6,6,http://localhost:6400/api/group,24,0,0
1741116134831,129,Login,200,OK,Load Test 1-2,text,true,,1359,245,6,6,http://localhost:6400/api/auth,129,0,0
1741116134960,0,Login-0,200,OK,Load Test 1-2,text,true,,674,0,6,6,null,0,0,0
1741116134950,20,Get group,500,Internal Server Error,Load Test 1-1,text,false,Test failed: code expected to contain /200/,315,594,6,6,http://localhost:6400/api/group,20,0,0
1741116134961,21,Create group,200,OK,Load Test 1-2,text,true,,290,648,6,6,http://localhost:6400/api/group,21,0,0
1741116134983,16,Get group,500,Internal Server Error,Load Test 1-2,text,false,Test failed: code expected to contain /200/,315,594,7,7,http://localhost:6400/api/group,16,0,0
1741116134851,168,Signup,200,OK,Load Test 1-4,text,true,,663,246,7,7,http://localhost:6400/api/users,168,0,1
1741116134972,89,Update group,200,OK,Load Test 1-1,text,true,,290,703,8,8,http://localhost:6400/api/group,89,0,0
1741116134901,176,Signup,200,OK,Load Test 1-5,text,true,,663,246,8,8,http://localhost:6400/api/users,176,0,2
1741116134938,162,Login,200,OK,Load Test 1-3,text,true,,1358,245,8,8,http://localhost:6400/api/auth,161,0,0
1741116135062,32,Delete group,403,Forbidden,Load Test 1-1,text,false,Test failed: code expected to contain /200/,332,599,8,8,http://localhost:6400/api/group,32,0,0
1741116135100,0,Login-0,200,OK,Load Test 1-3,text,true,,673,0,8,8,null,0,0,0
1741116135000,89,Update group,200,OK,Load Test 1-2,text,true,,290,703,8,8,http://localhost:6400/api/group,89,0,0
